Word                          	Frequency
a                             	4
access                        	1
adapted                       	3
add                           	1
all                           	8
allocated                     	2
almost                        	11
already                       	1
always                        	3
an                            	4
and                           	23
attempts                      	1
automatic                     	1
be                            	2
become                        	1
been                          	1
behind                        	1
burden                        	1
but                           	2
by                            	12
bytecode                      	9
bytecodes                     	3
can                           	2
case                          	1
code                          	3
collection                    	1
compile                       	3
compilers                     	3
complexity                    	1
crash                         	1
creation                      	1
deallocate                    	2
deallocated                   	2
default                       	8
developers                    	8
difficult                     	1
distributions                 	1
distributionshowever          	7
does                          	2
during                        	3
early                         	3
executables                   	3
explicitly                    	1
for                           	12
free                          	8
from                          	4
garbage                       	1
has                           	1
having                        	1
heap                          	1
however                       	4
ideas                         	1
ie                            	1
if                            	2
implementation                	8
implicitly                    	1
in                            	2
instructions                  	3
interpreted                   	3
interpreting                  	3
into                          	6
introduced                    	3
is                            	38
it                            	6
itself                        	3
java                          	9
javas                         	1
jit                           	3
justintime                    	3
jvm                           	19
language                      	1
languages                     	1
languagethe                   	2
latter                        	1
leak                          	1
leaks                         	1
likely                        	1
linux                         	8
logical                       	1
machine                       	12
made                          	3
makes                         	3
management                    	2
managing                      	1
manual                        	1
memory                        	8
model                         	1
more                          	3
most                          	8
native                        	3
never                         	1
not                           	2
note                          	1
object                        	1
objects                       	1
occurs                        	1
of                            	11
official                      	8
on                            	4
one                           	1
open                          	8
openjdk                       	8
or                            	3
overhead                      	4
partially                     	1
particular                    	3
perform                       	1
platform                      	3
platformindependent           	3
platforms                     	3
pointers                      	1
porting                       	3
predict                       	1
prevent                       	1
program                       	3
programmer                    	1
programmers                   	1
programs                      	3
reference                     	8
referenced                    	1
remedied                      	1
resides                       	1
responsibility                	1
result                        	1
run                           	6
runtime                       	3
simple                        	3
slowly                        	3
smart                         	1
software                      	8
some                          	1
source                        	8
spared                        	1
stack                         	1
stage                         	3
still                         	1
than                          	3
that                          	6
the                           	51
these                         	1
this                          	1
those                         	1
to                            	13
translates                    	3
undefined                     	1
universal                     	3
unstable                      	1
use                           	4
used                          	9
virtual                       	3
were                          	3
where                         	1
which                         	11
with                          	1
